t / s,&j / arb.u.
14.68,-2.05
14.73,-2.15
14.78,-2.06
14.83,-2.17
14.88,-2.03
14.93,-2.2
14.98,-2.04
15.03,-2.16
15.08,-2.09
15.13,-2.14
15.18,-2.09
15.23,-2.1
15.28,-2.06
15.33,-2.16
15.38,-2
15.43,-2.1
15.48,-2.04
15.53,-2.15
15.58,-2.04
15.63,-2.14
15.68,-2.06
15.73,-2.15
15.78,-2.06
15.83,-2.16
15.88,-2.04
15.93,-2.15
15.98,-2.07
16.03,-2.22
16.08,-2.06
16.13,-2.14
16.18,-2.01
16.23,-2.15
16.28,-2.08
16.33,-2.16
16.38,-2.09
16.43,-2.17
16.48,-2.04
16.53,-2.17
16.58,-2.04
16.63,-2.15
16.68,-2.06
16.73,-2.15
16.78,-2.06
16.83,-2.17
16.88,-2.04
16.93,-2.12
16.98,-2.02
17.03,-2.17
17.08,-2.04
17.13,-2.17
17.18,-2.03
17.23,-2.16
17.28,-2.09
17.33,-2.15
17.38,-2.04
17.43,-2.1
17.48,-2.08
17.53,-2.14
17.58,-2.06
17.63,-2.16
17.68,-2.07
17.73,-2.14
17.78,-2.06
17.83,-2.18
17.88,-2.06
17.93,-2.17
17.98,-2.1
18.03,-2.15
18.08,-2.03
18.13,-2.12
18.18,-2.07
18.23,-2.15
18.28,-2.07
18.33,-2.13
18.38,-2.07
18.43,-2.17
18.48,-2.06
18.53,-2.12
18.58,-2.06
18.63,-2.15
18.68,-2.07
18.73,-2.1
18.78,-2.07
18.83,-2.15
18.88,-2.06
18.93,-2.13
18.98,-2.11
19.03,-2.13
19.08,-2.07
19.13,-2.11
19.18,-2.06
19.23,-2.14
19.28,-2.07
19.33,-2.16
19.38,-2.04
19.43,-2.12
19.48,-2.09
19.53,-2.15
19.58,-2.06
19.63,-2.14
19.68,-2.09
19.73,-2.13
19.78,-2.05
19.83,-2.15
19.88,-2.03
19.93,-2.16
19.98,-2.05
20.03,-2.15
20.08,-2.07
20.13,-2.15
20.18,-2.04
20.23,-2.12
20.28,-2.09
20.33,-2.14
20.38,-2.1
20.43,-2.12
20.48,-2.06
20.53,-2.13
20.58,-2.09
20.63,-2.12
20.68,-2.09
20.73,-2.14
20.78,-2.07
20.83,-2.13
20.88,-2.08
20.93,-2.11
20.98,-2.07
21.03,-2.12
21.08,-2.06
21.13,-2.15
21.18,-2.06
21.23,-2.15
21.28,-2.09
21.33,-2.12
21.38,-2.08
21.43,-2.12
21.48,-2.07
21.53,-2.16
21.58,-2.09
21.63,-2.12
21.68,-2.05
21.73,-2.11
21.78,-2.08
21.83,-2.13
21.88,-2.06
21.93,-2.14
21.98,-2.05
22.03,-2.12
22.08,-2.07
22.13,-2.12
22.18,-2.11
22.23,-2.12
22.28,-2.1
22.33,-2.1
22.38,-2.01
22.43,-2.09
22.48,-2.09
22.53,-2.11
22.58,-2.04
22.63,-2.1
22.68,-2.07
22.73,-2.15
22.78,-2.05
22.83,-2.16
22.88,-2.08
22.93,-2.13
22.98,-2.06
23.03,-2.12
23.08,-2.07
23.13,-2.12
23.18,-2.1
23.23,-2.1
23.28,-2.12
23.33,-2.14
23.38,-2.08
23.43,-2.12
23.48,-2.09
23.53,-2.12
23.58,-2.09
23.63,-2.12
23.68,-2.12
23.73,-2.14
23.78,-2.11
23.83,-2.11
23.88,-2.09
23.93,-2.12
23.98,-2.09
24.03,-2.12
24.08,-2.1
24.13,-2.1
24.18,-2.08
24.23,-2.12
24.28,-2.12
24.33,-2.11
24.38,-2.16
24.43,-2.15
24.48,-2.1
24.53,-2.13
24.58,-2.12
24.63,-2.09
24.68,-2.11
24.73,-2.14
24.78,-2.11
24.83,-2.06
24.88,-2.1
24.93,-2.13
24.98,-2.09
25.03,-2.12
25.08,-2.08
25.13,-2.12
25.18,-2.08
25.23,-2.12
25.28,-2.08
25.33,-2.11
25.38,-2.14
25.43,-2.13
25.48,-2.08
25.53,-2.11
25.58,-2.11
25.63,-2.12
25.68,-2.1
25.73,-2.09
25.78,-2.1
25.83,-2.09
25.88,-2.11
25.93,-2.12
25.98,-2.11
26.03,-2.09
26.08,-2.1
26.13,-2.08
26.18,-2.08
26.23,-2.1
26.28,-2.1
26.33,-2.08
26.38,-2.11
26.43,-2.08
26.48,-2.06
26.53,-2.12
26.58,-2.15
26.63,-2.09
26.68,-2.15
26.73,-2.08
26.78,-2.12
26.83,-2.07
26.88,-2.1
26.93,-2.1
26.98,-2.11
27.03,-2.13
27.08,-2.1
27.13,-2.07
27.18,-2.13
27.23,-2.11
27.28,-2.11
27.33,-2.11
27.38,-2.08
27.43,-2.05
27.48,-2.12
27.53,-2.05
27.58,-2.13
27.63,-2.07
27.68,-2.09
27.73,-2.08
27.78,-2.13
27.83,-2.08
27.88,-2.11
27.93,-2.08
27.98,-2.12
28.03,-2.11
28.08,-2.15
28.13,-2.07
28.18,-2.17
28.23,-2.08
28.28,-2.12
28.33,-2.06
28.38,-2.06
28.43,-2.03
28.48,-2.14
28.53,-2.09
28.58,-2.14
28.63,-2.08
28.68,-2.15
28.73,-2.08
28.78,-2.14
28.83,-2.07
28.88,-2.12
28.93,-2.08
28.98,-2.13
29.03,-2.06
29.08,-2.06
29.13,-2.09
29.18,-2.12
29.23,-2.08
29.28,-2.13
29.33,-2.06
29.38,-2.14
29.43,-2.11
29.48,-2.14
29.53,-2.09
29.58,-2.12
29.63,-2.1
29.68,-2.15
29.73,-2.1
29.78,-2.11
29.83,-2.06
29.88,-2.11
29.93,-2.08
29.98,-2.13
30.03,-2.12
30.08,-2.16
30.13,-2.09
30.18,-2.07
30.23,-2.06
30.28,-2.08
30.33,-2.07
30.38,-2.15
30.43,-2.06
30.48,-2.13
30.53,-2.08
30.58,-2.11
30.63,-2.07
30.68,-2.12
30.73,-2.03
30.78,-2.11
30.83,-2.1
30.88,-2.1
30.93,-2.06
30.98,-2.16
31.03,-2.01
31.08,-2.08
31.13,-2.07
31.18,-2.15
31.23,-2.11
31.28,-2.15
31.33,-2.06
31.38,-2.16
31.43,-2.1
31.48,-2.15
31.53,-2.09
31.58,-2.1
31.63,-2.07
31.68,-2.12
31.73,-2.08
31.78,-2.13
31.83,-2.07
31.88,-2.16
31.93,-2.04
31.98,-2.14
32.03,-2.08
32.08,-2.12
32.13,-2.07
32.18,-2.13
32.23,-2.06
32.28,-2.14
32.33,-2.08
32.38,-2.14
32.43,-2.07
32.48,-2.13
32.53,-2.04
32.58,-2.13
32.63,-2.1
32.68,-2.15
32.73,-2.09
32.78,-2.12
32.83,-2.1
32.88,-2.12
32.93,-2.1
32.98,-2.12
33.03,-2.04
33.08,-2.17
33.13,-2.06
33.18,-2.17
33.23,-2.06
33.28,-2.16
33.33,-2.05
33.38,-2.12
33.43,-2.07
33.48,-2.13
33.53,-2.06
33.58,-2.11
33.63,-2.06
33.68,-2.14
33.73,-2.06
33.78,-2.13
33.83,-2.04
33.88,-2.16
33.93,-2.07
33.98,-2.15
34.03,-2.04
34.08,-2.11
34.13,-2.11
34.18,-2.17
34.23,-2.05
34.28,-2.12
34.33,-2.06
34.38,-2.1
34.43,-2.02
34.48,-2.13
34.53,-2.05
34.58,-2.16
34.63,-2.05
34.68,-2.16
34.73,-2.02
34.78,-2.19
34.83,-2.07
34.88,-2.15
34.93,-2.08
34.98,-2.14
