t / s,&j / arb.u.
7.88,-19.96
7.93,-21.42
7.98,-22.39
8.03,-22.81
8.08,-22.86
8.13,-22.52
8.18,-21.57
8.23,-20.18
8.28,-18.34
8.33,-16.14
8.38,-13.53
8.43,-10.75
8.48,-7.64
8.53,-4.37
8.58,-0.95
8.63,2.4
8.68,5.73
8.73,8.79
8.78,11.59
8.83,13.99
8.88,16.03
8.93,17.56
8.98,18.54
9.03,18.96
9.08,19.08
9.13,18.43
9.18,17.43
9.23,15.81
9.28,13.82
9.33,11.41
9.38,8.8
9.43,5.79
9.48,2.87
9.53,-0.23
9.58,-3.2
9.63,-6.14
9.68,-8.74
9.73,-11.25
9.78,-13.29
9.83,-15.17
9.88,-16.52
9.93,-17.63
9.98,-18.37
10.03,-18.75
10.08,-18.73
10.13,-18.34
10.18,-17.41
10.23,-16.21
10.28,-14.62
10.33,-12.84
10.38,-10.72
10.43,-8.45
10.48,-5.87
10.53,-3.32
10.58,-0.65
10.63,2.02
10.68,4.59
10.73,6.91
10.78,9.02
10.83,10.72
10.88,12.26
10.93,13.27
10.98,14.04
11.03,14.29
11.08,14.35
11.13,13.76
11.18,12.91
11.23,11.48
11.28,9.97
11.33,7.92
11.38,5.91
11.43,3.63
11.48,1.4
11.53,-1.08
11.58,-3.32
11.63,-5.59
11.68,-7.57
11.73,-9.48
11.78,-11.05
11.83,-12.46
11.88,-13.52
11.93,-14.44
11.98,-14.88
12.03,-15.11
12.08,-15.01
12.13,-14.71
12.18,-13.92
12.23,-12.9
12.28,-11.62
12.33,-10.19
12.38,-8.4
12.43,-6.68
12.48,-4.64
12.53,-2.69
12.58,-0.5
12.63,1.41
12.68,3.38
12.73,5.05
12.78,6.74
12.83,7.93
12.88,9.12
12.93,9.81
12.98,10.4
13.03,10.4
13.08,10.45
13.13,9.93
13.18,9.23
13.23,8.07
13.28,6.93
13.33,5.37
13.38,3.89
13.43,2.04
13.48,0.32
13.53,-1.61
13.58,-3.25
13.63,-5.06
13.68,-6.5
13.73,-8.02
13.78,-9.16
13.83,-10.29
13.88,-10.98
13.93,-11.66
13.98,-11.85
14.03,-12.01
14.08,-11.89
14.13,-11.62
14.18,-10.94
14.23,-10.13
14.28,-9.11
14.33,-7.97
14.38,-6.55
14.43,-5.16
14.48,-3.58
14.53,-2.11
14.58,-0.48
14.63,0.94
14.68,2.42
14.73,3.63
14.78,4.86
14.83,5.78
14.88,6.51
14.93,6.95
14.98,7.28
15.03,7.28
15.08,7.34
15.13,6.95
15.18,6.34
15.23,5.42
15.28,4.49
15.33,3.28
15.38,2.08
15.43,0.78
15.48,-0.51
15.53,-1.93
15.58,-3.22
15.63,-4.55
15.68,-5.61
15.73,-6.73
15.78,-7.56
15.83,-8.37
15.88,-8.84
15.93,-9.35
15.98,-9.47
16.03,-9.54
16.08,-9.5
16.13,-9.17
16.18,-8.63
16.23,-7.94
16.28,-7.14
16.33,-6.22
16.38,-5.13
16.43,-4.08
16.48,-2.87
16.53,-1.78
16.58,-0.63
16.63,0.43
16.68,1.53
16.73,2.43
16.78,3.24
16.83,3.89
16.88,4.38
16.93,4.77
16.98,4.95
17.03,4.93
17.08,4.84
17.13,4.5
17.18,4.02
17.23,3.36
17.28,2.67
17.33,1.71
17.38,0.79
17.43,-0.18
17.48,-1.18
17.53,-2.16
17.58,-3.14
17.63,-4.02
17.68,-4.89
17.73,-5.61
17.78,-6.24
17.83,-6.74
17.88,-7.15
17.93,-7.3
17.98,-7.42
18.03,-7.39
18.08,-7.41
18.13,-7.15
18.18,-6.7
18.23,-6.15
18.28,-5.53
18.33,-4.74
18.38,-4.07
18.43,-3.21
18.48,-2.4
18.53,-1.57
18.58,-0.78
18.63,0.05
18.68,0.68
18.73,1.32
18.78,1.77
18.83,2.23
18.88,2.49
18.93,2.74
18.98,2.86
19.03,2.86
19.08,2.75
19.13,2.43
19.18,2.02
19.23,1.62
19.28,1.04
19.33,0.44
19.38,-0.24
19.43,-0.83
19.48,-1.57
19.53,-2.17
19.58,-2.87
19.63,-3.43
19.68,-4.06
19.73,-4.44
19.78,-4.92
19.83,-5.13
19.88,-5.39
19.93,-5.47
19.98,-5.56
20.03,-5.48
20.08,-5.54
20.13,-5.31
20.18,-5.04
20.23,-4.55
20.28,-4.21
20.33,-3.65
20.38,-3.22
20.43,-2.64
20.48,-2.1
20.53,-1.53
20.58,-1.08
20.63,-0.52
20.68,-0.17
20.73,0.32
20.78,0.52
20.83,0.81
20.88,0.87
20.93,1.02
20.98,0.94
21.03,1.03
21.08,0.93
21.13,0.79
21.18,0.46
21.23,0.2
21.28,-0.25
21.33,-0.52
21.38,-0.99
21.43,-1.37
21.48,-1.81
21.53,-2.2
21.58,-2.63
21.63,-2.92
21.68,-3.32
21.73,-3.5
21.78,-3.8
21.83,-3.86
21.88,-4.04
21.93,-4.05
21.98,-4.13
22.03,-4.01
22.08,-4.03
22.13,-3.76
22.18,-3.64
22.23,-3.35
22.28,-3.17
22.33,-2.82
22.38,-2.61
22.43,-2.21
22.48,-1.98
22.53,-1.6
22.58,-1.47
22.63,-1.13
22.68,-0.98
22.73,-0.71
22.78,-0.66
22.83,-0.46
22.88,-0.51
22.93,-0.33
22.98,-0.43
23.03,-0.34
23.08,-0.46
23.13,-0.5
23.18,-0.74
23.23,-0.8
23.28,-1.13
23.33,-1.21
23.38,-1.53
23.43,-1.63
23.48,-1.93
23.53,-1.97
23.58,-2.19
23.63,-2.25
23.68,-2.53
23.73,-2.48
23.78,-2.76
23.83,-2.71
23.88,-2.79
23.93,-2.69
23.98,-2.8
24.03,-2.69
24.08,-2.74
24.13,-2.62
24.18,-2.62
24.23,-2.44
24.28,-2.43
24.33,-2.2
24.38,-2.18
24.43,-2.04
24.48,-1.99
24.53,-1.86
24.58,-1.85
24.63,-1.7
24.68,-1.71
24.73,-1.64
24.78,-1.67
24.83,-1.59
24.88,-1.64
24.93,-1.59
24.98,-1.65
25.03,-1.6
25.08,-1.65
25.13,-1.64
25.18,-1.71
25.23,-1.66
25.28,-1.73
25.33,-1.66
25.38,-1.77
25.43,-1.78
25.48,-1.9
25.53,-1.9
25.58,-1.96
25.63,-1.88
25.68,-1.9
25.73,-1.89
25.78,-1.89
25.83,-1.86
25.88,-1.91
25.93,-1.89
25.98,-1.94
