t / s,&j / arb.u.
17.08,-1.74
17.13,-1.85
17.18,-1.79
17.23,-1.85
17.28,-1.81
17.33,-1.83
17.38,-1.82
17.43,-1.78
17.48,-1.78
17.53,-1.81
17.58,-1.8
17.63,-1.79
17.68,-1.79
17.73,-1.81
17.78,-1.8
17.83,-1.83
17.88,-1.76
17.93,-1.82
17.98,-1.79
18.03,-1.84
18.08,-1.81
18.13,-1.81
18.18,-1.79
18.23,-1.82
18.28,-1.79
18.33,-1.84
18.38,-1.78
18.43,-1.79
18.48,-1.78
18.53,-1.87
18.58,-1.79
18.63,-1.86
18.68,-1.73
18.73,-1.8
18.78,-1.78
18.83,-1.84
18.88,-1.77
18.93,-1.83
18.98,-1.78
19.03,-1.89
19.08,-1.76
19.13,-1.86
19.18,-1.78
19.23,-1.82
19.28,-1.77
19.33,-1.83
19.38,-1.77
19.43,-1.85
19.48,-1.75
19.53,-1.83
19.58,-1.76
19.63,-1.82
19.68,-1.75
19.73,-1.85
19.78,-1.73
19.83,-1.83
19.88,-1.77
19.93,-1.81
19.98,-1.77
20.03,-1.76
20.08,-1.79
20.13,-1.81
20.18,-1.77
20.23,-1.84
20.28,-1.78
20.33,-1.8
20.38,-1.75
20.43,-1.83
20.48,-1.74
20.53,-1.85
20.58,-1.76
20.63,-1.84
20.68,-1.76
20.73,-1.84
20.78,-1.77
20.83,-1.81
20.88,-1.75
