t / s,&j / arb.u.
20.48,-5.61
20.53,-4.73
20.58,-3.69
20.63,-2.74
20.68,-1.64
20.73,-0.62
20.78,0.36
20.83,1.22
20.88,2.11
20.93,2.75
20.98,3.39
21.03,3.71
21.08,4.05
21.13,4.12
21.18,4.22
21.23,4.08
21.28,3.79
21.33,3.35
21.38,2.74
21.43,2.05
21.48,1.28
21.53,0.45
21.58,-0.43
21.63,-1.32
21.68,-2.17
21.73,-3.04
21.78,-3.86
21.83,-4.58
21.88,-5.22
21.93,-5.76
21.98,-6.2
22.03,-6.58
22.08,-6.73
22.13,-6.84
22.18,-6.83
22.23,-6.78
22.28,-6.5
22.33,-6.06
22.38,-5.58
22.43,-5.01
22.48,-4.38
22.53,-3.68
22.58,-2.97
22.63,-2.22
22.68,-1.5
22.73,-0.77
22.78,-0.13
22.83,0.49
22.88,1
22.93,1.47
22.98,1.82
23.03,2.11
23.08,2.22
23.13,2.3
23.18,2.31
23.23,2.25
23.28,1.95
23.33,1.6
23.38,1.1
23.43,0.69
23.48,0.05
23.53,-0.49
23.58,-1.14
23.63,-1.64
23.68,-2.27
23.73,-2.81
23.78,-3.34
23.83,-3.83
23.88,-4.24
23.93,-4.55
23.98,-4.87
24.03,-4.98
24.08,-5.18
24.13,-5.12
24.18,-5.15
24.23,-5.05
24.28,-4.91
24.33,-4.54
24.38,-4.26
24.43,-3.8
24.48,-3.39
24.53,-2.86
24.58,-2.45
24.63,-1.92
24.68,-1.59
24.73,-1.06
24.78,-0.69
24.83,-0.31
24.88,-0.02
24.93,0.29
24.98,0.41
25.03,0.61
25.08,0.6
25.13,0.75
25.18,0.63
25.23,0.63
25.28,0.37
25.33,0.21
25.38,-0.12
25.43,-0.37
25.48,-0.79
25.53,-1.09
25.58,-1.5
25.63,-1.78
25.68,-2.24
25.73,-2.47
25.78,-2.85
25.83,-3.05
25.88,-3.35
25.93,-3.44
25.98,-3.64
26.03,-3.64
26.08,-3.79
26.13,-3.67
26.18,-3.74
26.23,-3.63
26.28,-3.57
26.33,-3.32
26.38,-3.12
26.43,-2.87
26.48,-2.65
26.53,-2.3
26.58,-2.15
26.63,-1.86
26.68,-1.67
26.73,-1.38
26.78,-1.32
26.83,-1.05
26.88,-1.01
26.93,-0.79
26.98,-0.81
27.03,-0.71
27.08,-0.74
27.13,-0.65
27.18,-0.71
27.23,-0.69
27.28,-0.88
27.33,-0.91
27.38,-1.13
27.43,-1.15
27.48,-1.39
27.53,-1.45
27.58,-1.72
27.63,-1.78
27.68,-2.04
27.73,-2.05
27.78,-2.25
27.83,-2.25
27.88,-2.36
27.93,-2.38
27.98,-2.46
28.03,-2.34
28.08,-2.46
28.13,-2.37
28.18,-2.44
28.23,-2.34
28.28,-2.46
28.33,-2.34
28.38,-2.38
28.43,-2.16
28.48,-2.19
28.53,-2.04
28.58,-2.05
28.63,-1.92
28.68,-1.98
28.73,-1.88
28.78,-1.91
28.83,-1.83
28.88,-1.88
28.93,-1.82
28.98,-1.91
29.03,-1.83
29.08,-1.86
29.13,-1.8
29.18,-1.87
29.23,-1.8
29.28,-1.91
29.33,-1.83
29.38,-1.94
29.43,-1.94
29.48,-2
29.53,-1.93
29.58,-2
29.63,-1.97
29.68,-2.01
29.73,-1.96
29.78,-1.94
29.83,-1.87
29.88,-1.89
29.93,-1.91
29.98,-1.94
30.03,-1.92
30.08,-1.93
30.13,-1.93
30.18,-1.95
30.23,-1.92
30.28,-1.93
30.33,-1.91
30.38,-1.95
30.43,-1.94
30.48,-1.98
